step,em
2100,0.16199226305609285
3100,0.2587040618955513
4100,0.3036750483558994
5100,0.32591876208897486
6100,0.3704061895551257
7100,0.3505802707930368
8100,0.3728239845261122
9100,0.40522243713733075
10100,0.38684719535783363
11100,0.4047388781431335
12100,0.4463249516441006
13100,0.5154738878143134
14100,0.504835589941973
15100,0.5043520309477756
16100,0.48694390715667313
17100,0.5154738878143134
18100,0.5328820116054158
19100,0.531431334622824
20100,0.5507736943907157
21100,0.5420696324951644
22100,0.526595744680851
23100,0.5527079303675049
24100,0.5241779497098646
25100,0.5154738878143134
26100,0.5382011605415861
27100,0.5478723404255319
28100,0.5531914893617021
29100,0.5498065764023211
30100,0.5589941972920697
31100,0.5739845261121856
32100,0.566247582205029
33100,0.5623791102514507
34100,0.5681818181818182
35100,0.5657640232108317
36100,0.5807543520309478
37100,0.5575435203094777
38100,0.5527079303675049
39100,0.5652804642166345
40100,0.554642166344294
