step,em
1100,0.0367504835589942
2100,0.12379110251450677
3100,0.15473887814313347
4100,0.21083172147001933
5100,0.21566731141199227
6100,0.23210831721470018
7100,0.2504835589941973
8100,0.24758220502901354
9100,0.24274661508704062
10100,0.24758220502901354
11100,0.2263056092843327
12100,0.25435203094777564
13100,0.2688588007736944
14100,0.2688588007736944
15100,0.26305609284332687
16100,0.23887814313346228
17100,0.26692456479690524
18100,0.26305609284332687
19100,0.26305609284332687
20100,0.2640232108317215
21100,0.25918762088974856
22100,0.26305609284332687
23100,0.27852998065764023
24100,0.25822050290135395
25100,0.27852998065764023
26100,0.2746615087040619
27100,0.2601547388781431
28100,0.25918762088974856
29100,0.27176015473887816
30100,0.26305609284332687
31100,0.2688588007736944
32100,0.26595744680851063
33100,0.2746615087040619
34100,0.28433268858800775
35100,0.269825918762089
36100,0.26692456479690524
37100,0.27176015473887816
38100,0.2852998065764023
39100,0.2736943907156673
40000,0.2746615087040619
