time,step,column,table
0.243595178,1,0.8723579049110413,0.9045042395591736
0.486012028,2,0.9166315793991089,0.9425028562545776
0.731742644,3,0.9573057889938354,0.9686785936355591
0.974821639,4,0.973423421382904,0.978091299533844
1.218416817,5,0.9785765409469604,0.9828841686248779
1.462676844,6,0.9820507764816284,0.9860723614692688
1.706932222,7,0.9821729063987732,0.9849901795387268
1.964982317,8,0.9839094877243042,0.9845602512359619
2.211003719,9,0.9833023548126221,0.9867837429046631
2.507974647,10,0.9854028820991516,0.9868240356445312
2.785627858,11,0.985423743724823,0.986985981464386
3.029782842,12,0.9853888154029846,0.9875181317329407
3.271860036,13,0.9815816879272461,0.9873741269111633
3.512027325,14,0.9828615784645081,0.9858860969543457
3.752950358,15,0.9844110012054443,0.9873040318489075
3.992510772,16,0.9833204746246338,0.9862954616546631
